date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:07	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2010%20Sep%202023%2016:31:07%20GMT	https://einyels-cool-site.webflow.io/robots.txt		(from )
13:31:07	7258/7258	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202023%2016:31:07%20GMT	https://einyels-cool-site.webflow.io/	C:/Users/einyel/Documents/PagWeb/einyels-cool-site.webflow.io/index.html	(from )
13:31:08	62559/62559	---M-Z	200	added ('OK')	text/css	etag:%2277ebdea705287f680ab489bff3159213%22	https://uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/css/einyels-cool-site.webflow.e921c304a.css	C:/Users/einyel/Documents/PagWeb/uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/css/einyels-cool-site.webflow.e921c304a.css	(from https://einyels-cool-site.webflow.io/)
13:31:08	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/einyel/Documents/PagWeb/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://einyels-cool-site.webflow.io/)
13:31:09	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/Users/einyel/Documents/PagWeb/uploads-ssl.webflow.com/img/webclip.png	(from https://einyels-cool-site.webflow.io/)
13:31:09	3444/3444	---M-Z	200	added ('OK')	text/html	date:Sun,%2010%20Sep%202023%2016:31:09%20GMT	https://einyels-cool-site.webflow.io/style-guide	C:/Users/einyel/Documents/PagWeb/einyels-cool-site.webflow.io/style-guide.html	(from https://einyels-cool-site.webflow.io/)
13:31:09	38135/38135	---M--	200	added ('OK')	image/png	etag:%220ac66aa5adaa8fb8e89fa75e89dfe885%22	https://uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/64fd36ff568d7f23bb45c361_image-removebg-preview%20(2).png	C:/Users/einyel/Documents/PagWeb/uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/64fd36ff568d7f23bb45c361_image-removebg-preview%20(2).png	(from https://einyels-cool-site.webflow.io/)
13:31:10	101665/101665	---M--	200	added ('OK')	image/png	etag:%22ac37bf9e425c01d02a6d4659fdba39b1%22	https://uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/64fd3ca85a16efb4be9d21c3_2023-08-27_20.37.04.png	C:/Users/einyel/Documents/PagWeb/uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/64fd3ca85a16efb4be9d21c3_2023-08-27_20.37.04.png	(from https://einyels-cool-site.webflow.io/)
13:31:11	177275/177275	---M--	200	added ('OK')	image/png	etag:%228a4741f8e9490123df5a6f91b76d6ca9%22	https://uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/64fd3d031e51df93e30eb77d_2023-08-18_01.56.56.png	C:/Users/einyel/Documents/PagWeb/uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/64fd3d031e51df93e30eb77d_2023-08-18_01.56.56.png	(from https://einyels-cool-site.webflow.io/)
13:31:11	160343/160343	---M--	200	added ('OK')	image/png	etag:%22e1046fd4295f93acafdd8cbc85d34a95%22	https://uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/64fd3dbe4c01d1a2dcdf0579_2023-08-21_22.40.01.png	C:/Users/einyel/Documents/PagWeb/uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/64fd3dbe4c01d1a2dcdf0579_2023-08-21_22.40.01.png	(from https://einyels-cool-site.webflow.io/)
13:31:11	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=64fd34cbdb6ee793b9a42293	C:/Users/einyel/Documents/PagWeb/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8d2f7.js	(from https://einyels-cool-site.webflow.io/)
13:31:11	124466/124466	---M-Z	200	added ('OK')	text/javascript	etag:%22dd4983d99a569ccb5ca7f84178ca708e%22	https://uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/js/webflow.ff5712b69.js	C:/Users/einyel/Documents/PagWeb/uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/js/webflow.ff5712b69.js	(from https://einyels-cool-site.webflow.io/)
13:31:12	163100/163100	---M--	200	added ('OK')	image/png	etag:%222e662af91f02251fba9000c66248943e%22	https://uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/64fd40a2db6ee793b9abaf76_2023-08-18_01.56.48.png	C:/Users/einyel/Documents/PagWeb/uploads-ssl.webflow.com/64fd34cbdb6ee793b9a42293/64fd40a2db6ee793b9abaf76_2023-08-18_01.56.48.png	(from https://einyels-cool-site.webflow.io/style-guide)
